rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,product_name,sentiment,word_count,text_clean,cluster,sentiment_group
5.0,"Looks really sharp, unique. and awesome.","See above, seriously very pleased with this item!",[],B07WCBMH2W,B07WCBMH2W,AHBLEJR7ZLR37YZBB6MJM5S72GDQ,1626124714296,0,True,KH Sports Fan 20x20 Weathered Circle - Throwback Syracuse Orange Lacrosse,2,8,"see above, seriously very pleased with this item!",3,Positive
5.0,Five Stars,Invaluabile friend in prep for marathons for an 80 year old.,[],B00CO8HO6O,B00CO8HO6O,AFKHCHDNSFLK5TY6COMVJO2R2QRQ,1445822005000,0,True,Gymboss Interval Timer and Stopwatch - Black/Blue SOFTCOAT,2,11,invaluabile friend in prep for marathons for an 80 year old.,2,Positive
5.0,so far so good,"My back tire would go flat often (I may have had something stuck in the tire tread). Ever since I put the tire liner in, no flat tires.<br /><br />Enough said",[],B0032VC0PC,B078FHD1ZH,AH6W2NYW3MEFGSBW2V7JPNCPH4ZQ,1541497011039,0,True,Mr. Tuffy Bicycle Tire Liner,2,31,"my back tire would go flat often (i may have had something stuck in the tire tread). ever since i put the tire liner in, no flat tires.enough said",5,Positive
5.0,Five Stars,would buy again,[],B006ICNQO6,B006ICNQO6,AEC7CQLCBKHF2MXCYNCDLO4QQNZA,1456256780000,0,True,TMS 1/2inch Half Inch Mini Riser Block Mount for Picatinny Rails,2,3,would buy again,3,Positive
5.0,Fit perfectly,Great hat! Love it!,[],B09ZHWTBQ2,B09ZHV8Q73,AEEG62LFQMKUBR7OI7ARDVGLEWGA,1690974800957,0,True,Connectyle Womens Nylon Bucket Sun Hat Water Resistant Summer Beach Hat UPF 50+,2,4,great hat! love it!,2,Positive
5.0,Pricey but it stays cold all day.,Great for cold!,[],B07MZ6PVVT,B07MZ6PVVT,AHAPPK6DKOEVASZANUTTBJYN3VUQ,1577488038048,0,True,"Hydro Flask Standard Mouth Water Bottle, Flex Cap - 24 oz, Jade",2,3,great for cold!,2,Positive
5.0,Thanks!,Best bang for the buck!,[],B09BKHDLJH,B09BKHMQGH,AE5WWHPDG5M4YEMK4KVKJG5UDLKQ,1648845830607,0,True,"WOSPORTS Trail Camera,36MP 4K 0.2S Trigger Motion Activated,Game Hunting Camera with Night Vision IP66 Waterproof 2.0''LCD 120°Wide Camera Lens for Outdoor Scouting Wildlife Monitoring Home Security",2,5,best bang for the buck!,3,Positive
5.0,Absolutely love it!,Very durable and quality product!! Absolutely love it!,[],B01LX7DWS5,B01LX7DWS5,AFUZOQEBDL7ZILH3BL2JC75TEYMA,1504119360763,0,True,Husky Snips Tool Pouch Water Resistant with Belt Clip and Loop NEW Heavy Duty ;HJ#7-545/MKI94 G1580147,2,8,very durable and quality product!! absolutely love it!,3,Positive
5.0,Good set,"Good set, will be useful",[],B06XG7N414,B06XG7N414,AHFSBB3ZJ424QHZ323ZR2W6AYLYA,1557009242977,0,True,StrongFitt - Multi Resistance Bands Set - Heavy Exercise Bands - Enjoyable Fitness Bands - Workout Bands - Rehab Bands - with Door Anchor - Handles - Ankle Strap - Resistance Loop Bands for Gymnastics,2,5,"good set, will be useful",3,Positive
5.0,Great for kids to burn energy,My boys (11 and 2) had a blast using it. It didn't take long blowing it up with an air compressor not sure how long it would take manually but shouldn't be too difficult. For two rambunctious boys it's perfect.<br />It would make a great Christmas or birthday present!,[],B09TX72H16,B0BQD64ZNB,AF3NL6U4OTO7KVWLCMFBGACHUJGQ,1665802579538,1,False,"Lywaini Punching Bag for Kids, Inflatable Freestanding Bounce Back 63 Inch Kids Boxing Bag for Practicing Karate, Taekwondo and MMA, Gifts for Boys & Girls",2,49,my boys (11 and 2) had a blast using it. it didn't take long blowing it up with an air compressor not sure how long it would take manually but shouldn't be too difficult. for two rambunctious boys it's perfect.it would make a great christmas or birthday present!,3,Positive
5.0,Great for Kid's Party!,"These flag belts seem to be well made. No issues with material fraying, came with the right amount of belts per color. The belt clips are nice and sturdy. I have not had any issues with it so far and I’m really happy with this product. I’ll be sure to update the review if that changes over time.",[],B0BD6RDWC6,B0BD6RDWC6,AEHJ74GTXNWZ3MTAXRLFRPKVWW3A,1673925517609,0,False,"Hilhook Flag Football Belts, 14 Player Adjustable Flag Football Set with 42 Flags for Youth and Adults Training Equipment",2,58,"these flag belts seem to be well made. no issues with material fraying, came with the right amount of belts per color. the belt clips are nice and sturdy. i have not had any issues with it so far and i’m really happy with this product. i’ll be sure to update the review if that changes over time.",5,Positive
5.0,but it does a great job protecting your things from sweat/liquid,"Seems to work well. Is a bit larger than I expected, but still lightweight. Strong velcro closure that doesn't get caught on clothing at all. It seems to trap body heat in a bit and gets rather warm, but it does a great job protecting your things from sweat/liquid. Easily worn either under or over most clothing.",[],B00YBN6B0U,B00YBN6B0U,AFDBMUIDPRJHCFTK5XC4K3GGVESQ,1445366733000,0,True,"Runners Belt for iPhone x, 7, 8 Plus. Stylish Adjustable Running Belt. Used as Discreet Waist Pack/Fanny Packs, Perfect Cell Phone Holder. Flat Comfortable Sweatproof Band, Versatile Hip Bag to Wear",2,57,"seems to work well. is a bit larger than i expected, but still lightweight. strong velcro closure that doesn't get caught on clothing at all. it seems to trap body heat in a bit and gets rather warm, but it does a great job protecting your things from sweat/liquid. easily worn either under or over most clothing.",1,Positive
5.0,Five Stars,They are as described.,[],B00UTUJXL8,B07C14Q4GM,AFFF5QR3KECFDHABOXQ2RH7BV6QQ,1502134305333,0,True,Sea Pearls Soft Mesh Weights,2,4,they are as described.,3,Positive
5.0,Does the job!,Great for the price! I really have been enjoying the rack.,[],B00TRTSMG4,B07QBWFCMS,AGCZKN3G5H2QWIICR7RSUZVWRQKA,1589337694107,0,True,"Allen Sports Deluxe 2-Bike Hitch Mount Rack , Silver/Black (522RR)",2,11,great for the price! i really have been enjoying the rack.,0,Positive
5.0,These stickers are perfect easy to apply and remove,This product is a must if you are concerned about contact and where your pattern is.These stickers are perfect easy to apply and remove. They leave great ball prints you can get around 4 to 6 reps and each sticker and if you are striking it perfectly you will see the center getting darker. Remember<br />Contact is King.,[],B00JEE95T0,B00JEE95T0,AFSQD3LDMXEI4HSA5FAAKDXFCXLA,1520496705153,0,True,Standard Roll - Universal Irons,2,58,this product is a must if you are concerned about contact and where your pattern is.these stickers are perfect easy to apply and remove. they leave great ball prints you can get around 4 to 6 reps and each sticker and if you are striking it perfectly you will see the center getting darker. remembercontact is king.,1,Positive
5.0,Good deal,So far holding up great and they’ve gotten lots of use by two rough boys.,[],B07BZS9FJ2,B07BZS9FJ2,AEMACPFQTBWMOFBPKR7BHINY2B5Q,1594642731190,9,True,"Wavestorm 40"" Bodyboard 2-Pack , Blue red and Blue Yellow",2,15,so far holding up great and they’ve gotten lots of use by two rough boys.,3,Positive
5.0,Wife loves it!,"Pretty easy to install and my wife is actually using it to store her SUP. Just have to remind her that the skeg needs to be pointing to the ceiling when storing so tall folks can walk under it. Not a fault of the product, just a low ceiling in the garage. Cheers!",[],B07934TBTR,B07DKD5D39,AGEVQOSC6NJULF3XWPCCHVOZR6EA,1561826117745,0,True,"StoreYourBoard Standup Paddleboard and Surfboard Ceiling Storage Pulley System, Garage Mount Hoist, Heavy Duty Holds 150 lbs",2,53,"pretty easy to install and my wife is actually using it to store her sup. just have to remind her that the skeg needs to be pointing to the ceiling when storing so tall folks can walk under it. not a fault of the product, just a low ceiling in the garage. cheers!",3,Positive
5.0,They are great!,My grandson was so excited to get these. They are great!,[],B00CCSBG06,B00CCSBG06,AFXGKBFCCFN4Q3SF2JF6EZYGVEDQ,1487532535000,0,True,Avery Outdoors Hunting Gear PG FB Snow-Blue-Harvester Pack (Dozen),2,11,my grandson was so excited to get these. they are great!,1,Positive
5.0,Stellar light,700 lumens power is spot on. Rechargeable battery keeps me coming back for more. In below zero F temps I just clip it in and hit the on button. What's not to like?,[],B008TWG67M,B07RNSBT7R,AHWGKXZXARXZTREE76TEMAFDGT6A,1359197126000,0,True,Cygolite Expilion 750 USB Bicycle Headlight,2,33,700 lumens power is spot on. rechargeable battery keeps me coming back for more. in below zero f temps i just clip it in and hit the on button. what's not to like?,0,Positive
5.0,Great product,Best roller I've used so far.,[],B06Y2LW6NN,B06Y2LW6NN,AG2J5LBSCAK7LIQPSMIJEJPYPX2A,1569564112931,0,True,RumbleRoller Gator - 22 Foam Roller - Foam Muscle Roller Optimized for Cross Frictional Massage,2,6,best roller i've used so far.,5,Positive
5.0,Five Stars,Great Product for the price,[],B014CWM202,B014CWM202,AHOOKYTFAYQROXYANQOBFBXVQRPQ,1522169213738,0,True,KLOUD City Pack of 3 Circle Water Bottle/Beer Bottle Buckle/Carrying Clips/Holders/Hook with Adjustable Shoulder Strap/Neck Strap/Hand Strap for Camping Hiking Outdoor Travel,2,5,great product for the price,3,Positive
