rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,product_name,sentiment,word_count,text_length,helpful_log,clean_text_final
5.0,"Looks really sharp, unique. and awesome.","see above, seriously very pleased with this item!",[],B07WCBMH2W,B07WCBMH2W,AHBLEJR7ZLR37YZBB6MJM5S72GDQ,2021-07-12 21:18:34.296,0,True,KH Sports Fan 20x20 Weathered Circle - Throwback Syracuse Orange Lacrosse,2,8,49,0.0,see serious pleas item
5.0,Five Stars,invaluabile friend in prep for marathons for an 80 year old.,[],B00CO8HO6O,B00CO8HO6O,AFKHCHDNSFLK5TY6COMVJO2R2QRQ,2015-10-26 01:13:25.000,0,True,Gymboss Interval Timer and Stopwatch - Black/Blue SOFTCOAT,2,11,60,0.0,invaluabil friend prep marathon year old
5.0,so far so good,"my back tire would go flat often (i may have had something stuck in the tire tread). ever since i put the tire liner in, no flat tires.enough said",[],B0032VC0PC,B078FHD1ZH,AH6W2NYW3MEFGSBW2V7JPNCPH4ZQ,2018-11-06 09:36:51.039,0,True,Mr. Tuffy Bicycle Tire Liner,2,31,158,0.0,back tire would flat often may someth stuck tire tread ever sinc put tire liner flat said
5.0,Five Stars,would buy again,[],B006ICNQO6,B006ICNQO6,AEC7CQLCBKHF2MXCYNCDLO4QQNZA,2016-02-23 19:46:20.000,0,True,TMS 1/2inch Half Inch Mini Riser Block Mount for Picatinny Rails,2,3,15,0.0,would buy
5.0,Fit perfectly,great hat! love it!,[],B09ZHWTBQ2,B09ZHV8Q73,AEEG62LFQMKUBR7OI7ARDVGLEWGA,2023-08-02 11:13:20.957,0,True,Connectyle Womens Nylon Bucket Sun Hat Water Resistant Summer Beach Hat UPF 50+,2,4,19,0.0,great hat love
5.0,Pricey but it stays cold all day.,great for cold!,[],B07MZ6PVVT,B07MZ6PVVT,AHAPPK6DKOEVASZANUTTBJYN3VUQ,2019-12-27 23:07:18.048,0,True,"Hydro Flask Standard Mouth Water Bottle, Flex Cap - 24 oz, Jade",2,3,15,0.0,great cold
5.0,Thanks!,best bang for the buck!,[],B09BKHDLJH,B09BKHMQGH,AE5WWHPDG5M4YEMK4KVKJG5UDLKQ,2022-04-01 20:43:50.607,0,True,"WOSPORTS Trail Camera,36MP 4K 0.2S Trigger Motion Activated,Game Hunting Camera with Night Vision IP66 Waterproof 2.0''LCD 120°Wide Camera Lens for Outdoor Scouting Wildlife Monitoring Home Security",2,5,23,0.0,best bang buck
5.0,Absolutely love it!,very durable and quality product!! absolutely love it!,[],B01LX7DWS5,B01LX7DWS5,AFUZOQEBDL7ZILH3BL2JC75TEYMA,2017-08-30 18:56:00.763,0,True,Husky Snips Tool Pouch Water Resistant with Belt Clip and Loop NEW Heavy Duty ;HJ#7-545/MKI94 G1580147,2,8,54,0.0,durabl qualiti product absolut love
5.0,Good set,"good set, will be useful",[],B06XG7N414,B06XG7N414,AHFSBB3ZJ424QHZ323ZR2W6AYLYA,2019-05-04 22:34:02.977,0,True,StrongFitt - Multi Resistance Bands Set - Heavy Exercise Bands - Enjoyable Fitness Bands - Workout Bands - Rehab Bands - with Door Anchor - Handles - Ankle Strap - Resistance Loop Bands for Gymnastics,2,5,24,0.0,good set use
5.0,Great for kids to burn energy,my boys (11 and 2) had a blast using it. it didn't take long blowing it up with an air compressor not sure how long it would take manually but shouldn't be too difficult. for two rambunctious boys it's perfect.it would make a great christmas or birthday present!,[],B09TX72H16,B0BQD64ZNB,AF3NL6U4OTO7KVWLCMFBGACHUJGQ,2022-10-15 02:56:19.538,1,False,"Lywaini Punching Bag for Kids, Inflatable Freestanding Bounce Back 63 Inch Kids Boxing Bag for Practicing Karate, Taekwondo and MMA, Gifts for Boys & Girls",2,49,268,0.6931471805599453,boy blast use take long blow air compressor sure long would take manual difficult two rambuncti boy would make great christma birthday present
